# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.642794036865234375e+01 1.682699918746948242e-01 8.289020657539367676e-01 1.769900512695312500e+01 1.682699769735336304e-01 8.289020657539367676e-01 1.447362899780273438e+00
1.000000000000000000e+03 7.553538307547569275e-03 8.906054310500621796e-03 8.195423870347440243e-04 1.019551232457160950e-02 8.906044065952301025e-03 8.195430273190140724e-04 1.201053932309150696e-01
2.000000000000000000e+03 1.007654005661606789e-03 5.958309629932045937e-04 2.581419539637863636e-04 2.402459038421511650e-03 5.958271794952452183e-04 2.581437292974442244e-04 3.127887099981307983e-02
3.000000000000000000e+03 2.592011878732591867e-04 2.946873973996844143e-05 3.231198570574633777e-05 5.856811767444014549e-04 2.946936001535505056e-05 3.231202208553440869e-05 6.698562297970056534e-03
4.000000000000000000e+03 1.699540996924042702e-03 2.144466088793706149e-05 1.892864565888885409e-05 1.880865544080734253e-03 2.144455174857284874e-05 1.892868203867692500e-05 9.237362071871757507e-03
5.000000000000000000e+03 5.290160697768442333e-05 5.581999630521750078e-06 7.518301117670489475e-06 1.809424429666250944e-04 5.581937784882029518e-06 7.518414349760860205e-06 2.902566455304622650e-03
6.000000000000000000e+03 9.544056956656277180e-05 6.818559086241293699e-06 4.555944997264305130e-06 1.942667004186660051e-04 6.818476776970783249e-06 4.555663963401457295e-06 3.333505475893616676e-03
7.000000000000000000e+03 6.373246287694200873e-05 7.595428996864939108e-06 5.150533525011269376e-06 1.517893251730129123e-04 7.595067472720984370e-06 5.150757260707905516e-06 4.088441375643014908e-03
8.000000000000000000e+03 3.578222458600066602e-05 4.700505087384954095e-06 3.923501935787498951e-06 1.253242953680455685e-04 4.700455519923707470e-06 3.923519670934183523e-06 2.816037274897098541e-03
9.000000000000000000e+03 8.189421496354043484e-04 2.281689376104623079e-05 7.001297490205615759e-06 7.081106305122375488e-04 2.281687375216279179e-05 7.001473477430408821e-06 6.591283716261386871e-03
1.000000000000000000e+04 3.867241321131587029e-04 2.170503103116061538e-05 4.151895154791418463e-06 3.640169743448495865e-04 2.170446168747730553e-05 4.151715984335169196e-06 5.680152680724859238e-03
